Ulasan,Label
"['pantainya', 'luas', 'pasir', 'putihnya', 'bersih', 'jalanjalan', 'kuda', 'orang', 'bayar', 'ribubeli', 'rujak', 'ribu', 'pop', 'mie', 'ribu']",Positif
"['sampah', 'sampah', 'banyakarea', 'karang', 'tandanamun', 'perahu', 'memperhatikan', 'nabrak', 'karang', 'susah', 'bergerak']",Negatif
"['lokasinya', 'bagus', 'pantainya', 'luas', 'spot', 'khas', 'pohon', 'cemaraa', 'rindang', 'disediakan', 'kamar', 'mandi', 'bersih', 'kantin', 'harga', 'terjangkau', 'bermain', '…']",Positif
"['pantainya', 'cantik', 'bagus', 'pohon', 'cemara', 'udangnya', '🥰🥰🥰', '…']",Positif
"['fasilitas', 'jalan', 'lokasi', 'bagus', '…']",Negatif
"['pantainya', 'kotor', 'bungkusnya', 'makanan', 'instan', 'popmie', 'dan lain-lain', 'penerapan', 'buang', 'sampah', 'semberangan', 'minim', 'pengunjung', 'enaknya', 'buang', 'sampah', 'pinggir', 'pantai']",Negatif
"['pantai', 'diujung', 'timur', 'pulau', 'madura', 'ditumbuhin', 'ribuan', 'cemara', 'laut', 'sangat', 'indah', 'hamparan', 'pasir', 'putih', 'lembut', 'menjadikan', 'pantai', 'layak', 'dijadikan', 'destinasi', '…']",Positif
"['pantainya', 'bagus', 'ombaknya', 'wahana', 'bermain', 'kuda', 'sewa', 'pendoponya', 'jajanan', 'banyaktetep', 'jaga', 'kebersihan']",Positif
"['pantainya', 'indah', 'catatan', 'semoga', 'management', 'pantai', '…']",Positif
"['pantai', 'terbilang', 'bersih', 'berkunjung', 'pertengahan', 'minggu', 'tidak', 'ramai', 'nyaman', 'kumpul', 'keluarga', '…']",Positif
"['kondisi', 'pantai', 'terawat']",Negatif
"['jalan', 'wisata', 'bagus', 'mulus', 'lalui', 'lancar', 'pantainya', 'terawat', 'bersih', 'main', 'pasir', 'anak', 'cocok', 'harga', 'tiket', 'masuk', 'weekend', 'orang', 'kena', 'rb', 'wc', 'bersih', 'pantainya', 'cocok', 'piknik', 'pohon', 'pinusnya', 'adem']",Positif
"['pantai', 'lokasinya', 'ujung', 'timur', 'pulang', 'madura', 'tepatnya', 'kabupaten', 'sumenep', 'kota', 'sumenep', 'arah', 'timur', 'daya', 'pantainya', 'sangat', 'indah', 'hamparan', 'pasir', 'putihnya', 'merupaka']",Positif
"['bagus', 'foto', 'kuda', 'makanan', 'pinggir', 'pantai']",Positif
"['kota', 'perjalanan', 'jam', 'an', 'jalan', 'kesana', 'bagus', 'tidak', 'lubangpantai', 'luas', 'bersih', 'fasilitas']",Positif
"['pantai', 'lombang', 'terkenal', 'salah', 'destinasi', 'wisata', 'pulau', 'madura', 'hamparan', 'pasir', 'pantainya', 'luas', 'lumayan', 'bersih', 'pohon', 'cemara', 'sekeliling', 'pantai', '…']",Positif
"['hutan', 'cemara', 'udang', 'bikin', 'sejuk', 'rindang', 'tidak', 'kepanasan', 'matahari', 'terikteriknya', 'siang', '…']",Positif
"['fasilitas', 'penunjangnya', 'terawat', 'jalan', 'rusak', 'kamar', 'mandi', 'tidak', 'terawat', 'musholla', 'wudhu', 'airnya', 'mati']",Negatif
"['ombaknya', 'tidak', 'surfing', '…']",Negatif
"['pantainya', 'bersih', 'ombak', 'cenderung', 'tenang', 'disarankan', 'season', 'menghindari', 'kepadatan', 'pengunjung', 'pohon', 'cemara', 'sewa', 'kuda', 'jalan', 'jalan', 'pinggir', 'pantai', 'kedaikedai', 'penjual', '…']",Positif
"['sayang', 'jalan', 'lokasi', 'rusak', 'sampah', 'berserakan', 'kayak', 'terawat', 'semoga', 'depannya', 'mengelola', 'memperbaikinya', 'salah', 'opsi', 'wisata', 'sumenep']",Negatif
