Ulasan,Tanggal_Ulasan,Label,lokasi,hasil_ulasan,cleaning,tokenisasi,normalisasi,stopword
"Pantainya cukup luas dan panjang, pasir putihnya juga bersih. Untuk jalan-jalan naik kuda, per orang bayar 20 ribu.Beli rujak 8 ribu, pop mie 8 ribu",4 bulan lalu,Positif,pantai lombang,"pantainya cukup luas dan panjang, pasir putihnya juga bersih. untuk jalan-jalan naik kuda, per orang bayar 20 ribu.beli rujak 8 ribu, pop mie 8 ribu","pantainya cukup luas dan panjang, pasir putihnya juga bersih. untuk jalan-jalan naik kuda, per orang bayar  ribu.beli rujak  ribu, pop mie  ribu","['pantainya', 'cukup', 'luas', 'dan', 'panjang', ',', 'pasir', 'putihnya', 'juga', 'bersih', '.', 'untuk', 'jalan-jalan', 'naik', 'kuda', ',', 'per', 'orang', 'bayar', 'ribu.beli', 'rujak', 'ribu', ',', 'pop', 'mie', 'ribu']","['pantainya', 'cukup', 'luas', 'dan', 'panjang', ',', 'pasir', 'putihnya', 'juga', 'bersih', '.', 'untuk', 'jalan-jalan', 'naik', 'kuda', ',', 'per', 'orang', 'bayar', 'ribu.beli', 'rujak', 'ribu', ',', 'pop', 'mie', 'ribu']","['pantainya', 'luas', ',', 'pasir', 'putihnya', 'bersih', '.', 'jalan-jalan', 'kuda', ',', 'orang', 'bayar', 'ribu.beli', 'rujak', 'ribu', ',', 'pop', 'mie', 'ribu']"
"masih banyak sampah padahal tempat sampah banyak..area karang sudah diberi tanda,namun tetap saja perahu kurang memperhatikan sehingga sempat nabrak karang dan susah bergerak :( ",3 bulan lalu,Negatif,pantai lombang,"masih banyak sampah padahal tempat sampah banyak..area karang sudah diberi tanda,namun tetap saja perahu kurang memperhatikan sehingga sempat nabrak karang dan susah bergerak :( ","masih banyak sampah padahal tempat sampah banyak..area karang sudah diberi tanda,namun tetap saja perahu kurang memperhatikan sehingga sempat nabrak karang dan susah bergerak :(","['masih', 'banyak', 'sampah', 'padahal', 'tempat', 'sampah', 'banyak', '..', 'area', 'karang', 'sudah', 'diberi', 'tanda', ',', 'namun', 'tetap', 'saja', 'perahu', 'kurang', 'memperhatikan', 'sehingga', 'sempat', 'nabrak', 'karang', 'dan', 'susah', 'bergerak', ':', '(']","['masih', 'banyak', 'sampah', 'padahal', 'tempat', 'sampah', 'banyak', '..', 'area', 'karang', 'sudah', 'diberi', 'tanda', ',', 'namun', 'tetap', 'saja', 'perahu', 'kurang', 'memperhatikan', 'sehingga', 'sempat', 'nabrak', 'karang', 'dan', 'susah', 'bergerak', ':', '(']","['sampah', 'sampah', '..', 'area', 'karang', 'tanda', ',', 'perahu', 'memperhatikan', 'nabrak', 'karang', 'susah', 'bergerak', ':', '(']"
"lokasinya bagus, pantainya luas jadi banyak spot lalu khas disini pohon cemaraa yang banyak sehingga rindang. Disini juga disediakan kamar mandi yang bisa dikatakan cukup bersih, kantin dengan harga terjangkau, tempat bermain …",3 bulan lalu,Positif,pantai lombang,"lokasinya bagus, pantainya luas jadi banyak spot lalu khas disini pohon cemaraa yang banyak sehingga rindang. disini juga disediakan kamar mandi yang bisa dikatakan cukup bersih, kantin dengan harga terjangkau, tempat bermain …","lokasinya bagus, pantainya luas jadi banyak spot lalu khas disini pohon cemaraa yang banyak sehingga rindang. disini juga disediakan kamar mandi yang bisa dikatakan cukup bersih, kantin dengan harga terjangkau, tempat bermain ?","['lokasinya', 'bagus', ',', 'pantainya', 'luas', 'jadi', 'banyak', 'spot', 'lalu', 'khas', 'disini', 'pohon', 'cemaraa', 'yang', 'banyak', 'sehingga', 'rindang', '.', 'disini', 'juga', 'disediakan', 'kamar', 'mandi', 'yang', 'bisa', 'dikatakan', 'cukup', 'bersih', ',', 'kantin', 'dengan', 'harga', 'terjangkau', ',', 'tempat', 'bermain', '?']","['lokasinya', 'bagus', ',', 'pantainya', 'luas', 'jadi', 'banyak', 'spot', 'lalu', 'khas', 'disini', 'pohon', 'cemaraa', 'yang', 'banyak', 'sehingga', 'rindang', '.', 'disini', 'juga', 'disediakan', 'kamar', 'mandi', 'yang', 'bisa', 'dikatakan', 'cukup', 'bersih', ',', 'kantin', 'dengan', 'harga', 'terjangkau', ',', 'tempat', 'bermain', '?']","['lokasinya', 'bagus', ',', 'pantainya', 'luas', 'spot', 'khas', 'pohon', 'cemaraa', 'rindang', '.', 'disediakan', 'kamar', 'mandi', 'bersih', ',', 'kantin', 'harga', 'terjangkau', ',', 'bermain', '?']"
Pantainya cantik bagus bnyk pohon cemara udangnya 🥰🥰🥰 …,3 minggu lalu,Positif,pantai lombang,pantainya cantik bagus bnyk pohon cemara udangnya 🥰🥰🥰 …,pantainya cantik bagus bnyk pohon cemara udangnya ??? ?,"['pantainya', 'cantik', 'bagus', 'bnyk', 'pohon', 'cemara', 'udangnya', '?', '?', '?', '?']","['pantainya', 'cantik', 'bagus', 'banyak', 'pohon', 'cemara', 'udangnya', '?', '?', '?', '?']","['pantainya', 'cantik', 'bagus', 'pohon', 'cemara', 'udangnya', '?', '?', '?', '?']"
 kurang fasilitas dan jalan ke lokasi kurang bagus... …,setahun lalu,Negatif,pantai lombang, kurang fasilitas dan jalan ke lokasi kurang bagus... …,kurang fasilitas dan jalan ke lokasi kurang bagus... ?,"['kurang', 'fasilitas', 'dan', 'jalan', 'ke', 'lokasi', 'kurang', 'bagus', '...', '?']","['kurang', 'fasilitas', 'dan', 'jalan', 'ke', 'lokasi', 'kurang', 'bagus', '...', '?']","['fasilitas', 'jalan', 'lokasi', 'bagus', '...', '?']"
"Pantainya masih kotor dengan berbagai bungkusnya makanan instan, seperti popmie dll, penerapan jangan buang sampah semberangan masih minim, pengunjung dengan se enaknya buang sampah di pinggir pantai.",setahun lalu,Negatif,pantai lombang,"pantainya masih kotor dengan berbagai bungkusnya makanan instan, seperti popmie dll, penerapan jangan buang sampah semberangan masih minim, pengunjung dengan se enaknya buang sampah di pinggir pantai.","pantainya masih kotor dengan berbagai bungkusnya makanan instan, seperti popmie dll, penerapan jangan buang sampah semberangan masih minim, pengunjung dengan se enaknya buang sampah di pinggir pantai.","['pantainya', 'masih', 'kotor', 'dengan', 'berbagai', 'bungkusnya', 'makanan', 'instan', ',', 'seperti', 'popmie', 'dll', ',', 'penerapan', 'jangan', 'buang', 'sampah', 'semberangan', 'masih', 'minim', ',', 'pengunjung', 'dengan', 'se', 'enaknya', 'buang', 'sampah', 'di', 'pinggir', 'pantai', '.']","['pantainya', 'masih', 'kotor', 'dengan', 'berbagai', 'bungkusnya', 'makanan', 'instan', ',', 'seperti', 'popmie', 'dan lain-lain', ',', 'penerapan', 'jangan', 'buang', 'sampah', 'semberangan', 'masih', 'minim', ',', 'pengunjung', 'dengan', 'se', 'enaknya', 'buang', 'sampah', 'di', 'pinggir', 'pantai', '.']","['pantainya', 'kotor', 'bungkusnya', 'makanan', 'instan', ',', 'popmie', 'dan lain-lain', ',', 'penerapan', 'buang', 'sampah', 'semberangan', 'minim', ',', 'pengunjung', 'enaknya', 'buang', 'sampah', 'pinggir', 'pantai', '.']"
Pantai diujung timur pulau madura ini ditumbuhin dengan ribuan cemara laut yang sangat indah. Hamparan pasir putih yang lembut menjadikan pantai ini layak dijadikan destinasi …,4 tahun lalu,Positif,pantai lombang,pantai diujung timur pulau madura ini ditumbuhin dengan ribuan cemara laut yang sangat indah. hamparan pasir putih yang lembut menjadikan pantai ini layak dijadikan destinasi …,pantai diujung timur pulau madura ini ditumbuhin dengan ribuan cemara laut yang sangat indah. hamparan pasir putih yang lembut menjadikan pantai ini layak dijadikan destinasi ?,"['pantai', 'diujung', 'timur', 'pulau', 'madura', 'ini', 'ditumbuhin', 'dengan', 'ribuan', 'cemara', 'laut', 'yang', 'sangat', 'indah', '.', 'hamparan', 'pasir', 'putih', 'yang', 'lembut', 'menjadikan', 'pantai', 'ini', 'layak', 'dijadikan', 'destinasi', '?']","['pantai', 'diujung', 'timur', 'pulau', 'madura', 'ini', 'ditumbuhin', 'dengan', 'ribuan', 'cemara', 'laut', 'yang', 'sangat', 'indah', '.', 'hamparan', 'pasir', 'putih', 'yang', 'lembut', 'menjadikan', 'pantai', 'ini', 'layak', 'dijadikan', 'destinasi', '?']","['pantai', 'diujung', 'timur', 'pulau', 'madura', 'ditumbuhin', 'ribuan', 'cemara', 'laut', 'sangat', 'indah', '.', 'hamparan', 'pasir', 'putih', 'lembut', 'menjadikan', 'pantai', 'layak', 'dijadikan', 'destinasi', '?']"
"Pantainya bagus, ombaknya besar, ada wahana bermain , ada kuda bisa di sewa, banyak pendoponya Jajanan juga banyak,Tetep jaga kebersihan ya",2 tahun lalu,Positif,pantai lombang,"pantainya bagus, ombaknya besar, ada wahana bermain , ada kuda bisa di sewa, banyak pendoponya jajanan juga banyak,tetep jaga kebersihan ya","pantainya bagus, ombaknya besar, ada wahana bermain , ada kuda bisa di sewa, banyak pendoponya jajanan juga banyak,tetep jaga kebersihan ya","['pantainya', 'bagus', ',', 'ombaknya', 'besar', ',', 'ada', 'wahana', 'bermain', ',', 'ada', 'kuda', 'bisa', 'di', 'sewa', ',', 'banyak', 'pendoponya', 'jajanan', 'juga', 'banyak', ',', 'tetep', 'jaga', 'kebersihan', 'ya']","['pantainya', 'bagus', ',', 'ombaknya', 'besar', ',', 'ada', 'wahana', 'bermain', ',', 'ada', 'kuda', 'bisa', 'di', 'sewa', ',', 'banyak', 'pendoponya', 'jajanan', 'juga', 'banyak', ',', 'tetep', 'jaga', 'kebersihan', 'iya']","['pantainya', 'bagus', ',', 'ombaknya', ',', 'wahana', 'bermain', ',', 'kuda', 'sewa', ',', 'pendoponya', 'jajanan', ',', 'tetep', 'jaga', 'kebersihan', 'iya']"
"Pantainya indah, namun ada beberapa catatan yang semoga bisa membuat management pantai ini menjadi lebih baik: …",3 tahun lalu,Positif,pantai lombang,"pantainya indah, namun ada beberapa catatan yang semoga bisa membuat management pantai ini menjadi lebih baik: …","pantainya indah, namun ada beberapa catatan yang semoga bisa membuat management pantai ini menjadi lebih baik: ?","['pantainya', 'indah', ',', 'namun', 'ada', 'beberapa', 'catatan', 'yang', 'semoga', 'bisa', 'membuat', 'management', 'pantai', 'ini', 'menjadi', 'lebih', 'baik', ':', '?']","['pantainya', 'indah', ',', 'namun', 'ada', 'beberapa', 'catatan', 'yang', 'semoga', 'bisa', 'membuat', 'management', 'pantai', 'ini', 'menjadi', 'lebih', 'baik', ':', '?']","['pantainya', 'indah', ',', 'catatan', 'semoga', 'management', 'pantai', ':', '?']"
"Pantai masih terbilang bersih, berkunjung saat pertengahan minggu jadi tdk terlalu ramai. Lebih nyaman utk bisa kumpul dgn keluarga. …",2 tahun lalu,Positif,pantai lombang,"pantai masih terbilang bersih, berkunjung saat pertengahan minggu jadi tdk terlalu ramai. lebih nyaman utk bisa kumpul dgn keluarga. …","pantai masih terbilang bersih, berkunjung saat pertengahan minggu jadi tdk terlalu ramai. lebih nyaman utk bisa kumpul dgn keluarga. ?","['pantai', 'masih', 'terbilang', 'bersih', ',', 'berkunjung', 'saat', 'pertengahan', 'minggu', 'jadi', 'tdk', 'terlalu', 'ramai', '.', 'lebih', 'nyaman', 'utk', 'bisa', 'kumpul', 'dgn', 'keluarga', '.', '?']","['pantai', 'masih', 'terbilang', 'bersih', ',', 'berkunjung', 'saat', 'pertengahan', 'minggu', 'jadi', 'tidak', 'terlalu', 'ramai', '.', 'lebih', 'nyaman', 'untuk', 'bisa', 'kumpul', 'dengan', 'keluarga', '.', '?']","['pantai', 'terbilang', 'bersih', ',', 'berkunjung', 'pertengahan', 'minggu', 'tidak', 'ramai', '.', 'nyaman', 'kumpul', 'keluarga', '.', '?']"
